         72476276 function calls (68459571 primitive calls) in 36.347 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     9544    0.002    0.000    0.003    0.000 _parser.py:168(__getitem__)
     7784    0.002    0.000    0.002    0.000 graph_to_matrix.py:82(<genexpr>)
       63    0.000    0.000    0.002    0.000 loader.py:67(feature_imported)
       63    0.000    0.000    0.002    0.000 feature.py:134(feature_imported)
        1    0.000    0.000    0.002    0.002 betweenness.py:1(<module>)
       34    0.000    0.000    0.002    0.000 feature.py:150(_mod_uses_pyside)
        1    0.000    0.000    0.002    0.002 modularity_max.py:1(<module>)
      162    0.000    0.000    0.002    0.000 graph_to_matrix.py:618(cord_in_between_two_neighbors_with_one_normal_space)
    27126    0.002    0.000    0.002    0.000 grid.py:592(<genexpr>)
      168    0.000    0.000    0.002    0.000 __init__.py:763(open)
       34    0.000    0.000    0.002    0.000 inspect.py:1155(getsource)
3534/3334    0.001    0.000    0.002    0.000 encoder.py:280(_iterencode_list)
      168    0.000    0.000    0.002    0.000 __init__.py:294(_from_text_for)
       34    0.000    0.000    0.002    0.000 inspect.py:1134(getsourcelines)
