         96906572 function calls (92862053 primitive calls) in 44.642 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      166    0.000    0.000    0.004    0.000 __init__.py:907(read_text)
    35213    0.004    0.000    0.004    0.000 graph_to_matrix.py:948(get_orientation_in_opposite_direction)
      105    0.004    0.000    0.004    0.000 {method 'emit' of 'PySide6.QtCore.SignalInstance' objects}
     3760    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
    33986    0.004    0.000    0.004    0.000 {built-in method builtins.iter}
        1    0.000    0.000    0.004    0.004 _colorize.py:1(<module>)
        1    0.000    0.000    0.004    0.004 traveling_salesman.py:1(<module>)
     2646    0.002    0.000    0.003    0.000 digraph.py:677(add_edge)
    18449    0.003    0.000    0.003    0.000 {method 'split' of 'str' objects}
     5368    0.003    0.000    0.003    0.000 enum.py:811(__setattr__)
     7208    0.002    0.000    0.003    0.000 reportviews.py:428(__call__)
      201    0.001    0.000    0.003    0.000 graph_to_matrix.py:223(_normalize_topological_ordering)
        3    0.000    0.000    0.003    0.001 reflection.py:69(_discover_directory)
      762    0.001    0.000    0.003    0.000 grid.py:75(add_source)
     6475    0.001    0.000    0.003    0.000 {built-in method builtins.setattr}
     1485    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:124(setdefault)
     6041    0.002    0.000    0.003    0.000 mutation.py:33(stop_requested)
      879    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:635(cached)
     2954    0.002    0.000    0.003    0.000 grid.py:155(_get_movable_id)
11576/3382    0.002    0.000    0.003    0.000 encoder.py:339(_iterencode_dict)
      426    0.003    0.000    0.003    0.000 {method 'read' of '_io.BufferedReader' objects}
     3941    0.001    0.000    0.003    0.000 {built-in method builtins.delattr}
    35414    0.003    0.000    0.003    0.000 graph_to_matrix.py:937(get_enumeration_to_orientation)
      872    0.001    0.000    0.003    0.000 {built-in method builtins.sorted}
      426    0.003    0.000    0.003    0.000 {built-in method _io.open_code}
      453    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
    26172    0.003    0.000    0.003    0.000 {built-in method from_iterable}
